arrival_mode,baseline_mean,baseline_policy,candidate_mean,ci95_high,ci95_low,concurrency,cost_id,experiment_id,group_id,mean,mean_delta,median,metric,n,offered_load_rps,paired_dz,policy_id,regime,relative_change_pct,relative_ci95_high,relative_ci95_low,resamples,resampling_unit,std
poisson,5006.250382343233,mono,5006.250382343233,0.0,0.0,,analytical,E4,E4-7348934f06c5,0.0,0.0,0.0,e2e_p95_ms,5,16,,chunk_512,short_long,0.0,0.0,0.0,2000,workload_seed,0.0
poisson,10.609600000000137,mono,10.609600000000137,0.0,0.0,,analytical,E4,E4-7348934f06c5,0.0,0.0,0.0,itl_p95_ms,5,16,,chunk_512,short_long,0.0,0.0,0.0,2000,workload_seed,0.0
poisson,12.333800000000156,mono,12.333800000000156,0.0,0.0,,analytical,E4,E4-7348934f06c5,0.0,0.0,0.0,itl_p99_ms,5,16,,chunk_512,short_long,0.0,0.0,0.0,2000,workload_seed,0.0
poisson,12.017379141636793,mono,12.017379141636793,0.0,0.0,,analytical,E4,E4-7348934f06c5,0.0,0.0,0.0,request_throughput_rps,5,16,,chunk_512,short_long,0.0,0.0,0.0,2000,workload_seed,0.0
poisson,3262.625658428061,mono,3262.625658428061,0.0,0.0,,analytical,E4,E4-7348934f06c5,0.0,0.0,0.0,output_token_throughput_tps,5,16,,chunk_512,short_long,0.0,0.0,0.0,2000,workload_seed,0.0
poisson,10.024499564540832,mono,10.024499564540832,0.0,0.0,,analytical,E4,E4-7348934f06c5,0.0,0.0,0.0,observed_request_throughput_rps,5,16,,chunk_512,short_long,0.0,0.0,0.0,2000,workload_seed,0.0
poisson,0.9240984889929615,mono,0.9240984889929615,0.0,0.0,,analytical,E4,E4-7348934f06c5,0.0,0.0,0.0,iteration_cv,5,16,,chunk_512,short_long,0.0,0.0,0.0,2000,workload_seed,0.0
poisson,2247.8095821481115,mono,2247.8095821481115,0.0,0.0,,analytical,E4,E4-7348934f06c5,0.0,0.0,0.0,max_wait_ms,5,16,,chunk_512,short_long,0.0,0.0,0.0,2000,workload_seed,0.0
poisson,35.4,mono,35.4,0.0,0.0,,analytical,E4,E4-7348934f06c5,0.0,0.0,0.0,starvation_proxy_count,5,16,,chunk_512,short_long,0.0,0.0,0.0,2000,workload_seed,0.0
poisson,0.8851476907831313,mono,0.8851476907831313,0.0,0.0,,analytical,E4,E4-7348934f06c5,0.0,0.0,0.0,waiting_satisfaction_jain,5,16,,chunk_512,short_long,0.0,0.0,0.0,2000,workload_seed,0.0
poisson,2065.8341579432135,mono,2065.8341579432135,0.0,0.0,,analytical,E4,E4-7348934f06c5,0.0,0.0,0.0,short_prompt_ttft_p95_ms,5,16,,chunk_512,short_long,0.0,0.0,0.0,2000,workload_seed,0.0
poisson,2.7132000000000005,mono,2.7132000000000005,0.0,0.0,,analytical,E4,E4-7348934f06c5,0.0,0.0,0.0,primer_max_itl_ms,5,16,,chunk_512,short_long,0.0,0.0,0.0,2000,workload_seed,0.0
poisson,56.2,mono,56.2,0.0,0.0,,analytical,E4,E4-7348934f06c5,0.0,0.0,0.0,backlog_at_arrival_end,5,16,,chunk_512,short_long,0.0,0.0,0.0,2000,workload_seed,0.0
poisson,0.9914594865792947,mono,0.9914594865792947,0.0,0.0,,analytical,E4,E4-7348934f06c5,0.0,0.0,0.0,server_busy_fraction,5,16,,chunk_512,short_long,0.0,0.0,0.0,2000,workload_seed,0.0
poisson,0.7587817065676691,mono,0.7587817065676691,0.0,0.0,,analytical,E4,E4-7348934f06c5,0.0,0.0,0.0,batch_slot_occupancy,5,16,,chunk_512,short_long,0.0,0.0,0.0,2000,workload_seed,0.0
poisson,108.55308256566097,mono,2237.1308106610077,2320.57921169443,1912.6741387708837,,analytical,E4,E4-7348934f06c5,2128.5777280953466,2128.5777280953466,2125.238361473055,ttft_p50_ms,5,16,7.939353839561799,fcfs,short_long,1960.8634575695487,16900.582423005646,705.774494996713,2000,workload_seed,268.1046557578331
poisson,2076.844116430374,mono,4215.57452069664,2284.1690065025005,2031.8210914228116,,analytical,E4,E4-7348934f06c5,2138.7304042662663,2138.7304042662663,2078.9187051395543,ttft_p95_ms,5,16,13.428619390295463,fcfs,short_long,102.97982344203382,121.9704071858537,89.53305580680504,2000,workload_seed,159.26658892513365
